RNA site location (hg38)	H276_OLIG	H286_OLIG	H344_OLIG	H372_OLIG	H395_OLIG	H406_OLIG	H412_OLIG	H427_OLIG	H444_OLIG
chr19_23266223	0.31	0.37	0.28	0.17	0.25	0.28	0.38	0.25	0.28
chr19_23267237	0.15	0.17	0.25	0.2	0.25	0.4	0.32	0.24	0.2
chr19_23267241	0.13	0.2	0.11	0.3	0.26	0.17	0.2	0.2	0.25
chr19_23267263	0.3	0.39	0.44	0.44	0.69	0.2	0.52	0.53	0.53
chr19_23267266	0.12	0.32	0.18	0.23	0.24	0.38	0.29	0.39	0.75
chr19_23341322	0.31	0.31	0.22	0.31	0.71	0.67	0.26	0.31	0.71
chr19_23341335	0.5	0.27	0.32	0.44	0.85	0.93	0.47	0.5	1
chr19_23341354	0.2	0.308	0.231	0.214	0.5	0.455	0.308	0.308	0.593
chr19_23368558	0.97	1	0.37	0.95	0.43	1	0.49	0.33	1
chr19_23368560	0.97	1	0.98	0.99	0.97	1	0.985	0.98	1
chr19_23368562	1	1	1	1	0.98	1	0.49	0.99	1
chr19_2347151	1	1	1	1	1	1	1	1	1
chr19_2348554	0.2	0.16	0.09	0.17	0.13	0.31	0.2	0.18	0.13
chr19_2348555	0.16	0.11	0.14	0.16	0.11	0.28	0.19	0.15	0.13
chr19_2348580	0.26	0.2	0.2	0.2	0.1	0.26	0.11	0.24	0.17
chr19_2348586	0.2	0.16	0.19	0.175	0.09	0.26	0.11	0.19	0.12
chr19_2348789	0.17	0.09	0.15	0.08	0.21	0.15	0.1	0.15	0.18
chr19_2348813	0.76	1	0.35	0.955	0.72	1	1	1	0.91
chr19_2349059	0.25	0.1	0.24	0.2	0.22	0.31	0.34	0.18	0.11
chr19_2349754	0.474	1	1	1	0.591	1	1	1	0.421
chr19_2349958	0.545	1	0.984	1	0.471	1	0.968	1	0.522
chr19_2350328	0.12	0.44	0.38	0.34	0.19	0.75	0.38	0.52	0.38
chr19_23652891	1	1	1	1	1	1	1	1	1
chr19_24055499	0.7	0.46	0.45	0.47	0.33	0.36	0.35	0.6	0.57
chr19_24055529	0.82	0.57	0.55	0.59	0.62	0.72	0.81	0.58	0.82
chr19_24055539	0.43	0.19	0.39	0.42	0.18	0.42	0.47	0.42	0.42
chr19_24138820	0.39	0.35	0.12	0.15	0.26	0.38	0.26	0.26	0.17
chr19_24138824	0.346	0.273	0.19	0.19	0.146	0.172	0.267	0.103	0.19
chr19_24138825	0.83	0.54	0.62	0.37	0.49	0.53	0.53	0.43	0.48
chr19_24138826	0.37	0.38	0.36	0.2	0.16	0.49	0.43	0.24	0.365
chr19_24138827	0.4	0.292	0.333	0.32	0.146	0.4	0.355	0.103	0.25
chr19_24138991	0.12	0.155	0.2	0.15	0.27	0.16	0.23	0.09	0.1
chr19_24139009	0.12	0.19	0.31	0.14	0.06	0.23	0.34	0.1	0.29
chr19_24139029	0.09	0.16	0.24	0.15	0.24	0.16	0.32	0.12	0.16
chr19_24139037	0.09	0.09	0.13	0.09	0.09	0.09	0.09	0.09	0.09
chr19_24139038	0.077	0.101	0.242	0.057	0.101	0.062	0.359	0.101	0.125
chr19_24139052	0.09	0.09	0.07	0.11	0.06	0.17	0.09	0.13	0.07
chr19_24139215	0.36	0.29	0.5	0.61	0.19	0.34	0.62	0.26	0.48
chr19_24139244	0.19	0.23	0.43	0.44	0.33	0.44	0.53	0.28	0.6
chr19_24139272	0.71	0.39	0.78	0.75	0.61	0.49	0.69	0.38	0.79
chr19_24139802	0.31	0.32	0.45	0.6	0.33	0.24	0.3	0.19	0.14
chr19_24139806	0.4	0.77	1	0.92	0.7	0.56	0.78	0.86	0.84
chr19_24139855	0.53	0.52	0.3	0.69	0.54	0.5	0.34	0.64	0.81
chr19_2512797	0.55	1	1	1	1	1	0.957	1	0.733
chr19_2514205	0.25	0.29	0.31	0.24	0.29	0.17	0.29	0.29	0.33
chr19_2516336	0.188	0.25	0.273	0.364	0.2	0.6	0.241	0.25	0.25
chr19_2540181	0.12	0.085	0.085	0.08	0.09	0.09	0.08	0.085	0.06
chr19_2540249	0.18	0.23	0.08	0.1	0.17	0.15	0.26	0.25	0.2
chr19_2552186	0.79	0.79	0.88	1	0.86	1	0.81	0.6	0.81
chr19_2552189	0.294	0.143	0.269	0.421	0.2	0.474	0.395	0.2815	0.187
chr19_2552240	0.28	0.16	0.26	0.31	0.27	0.21	0.4	0.22	0.21
chr19_2552251	0.171	0.182	0.107	0.219	0.182	0.2	0.333	0.182	0.179
chr19_2552259	0.26	0.2	0.25	0.2	0.3	0.4	0.26	0.32	0.17
chr19_2602887	0.77	0.06	0.35	0.61	0.62	1	0.36	0.61	0.61
chr19_2602892	0.54	0.54	0.26	0.54	0.84	0.81	0.28	0.18	0.61
chr19_2602893	0.7	0.66	0.25	0.64	0.84	0.96	0.66	0.34	0.66
chr19_2602895	0.72	0.63	0.26	0.61	0.84	1	0.29	0.25	0.65
chr19_2602896	0.77	0.59	0.23	0.59	0.59	0.8	0.31	0.19	0.63
chr19_2602900	0.91	0.845	0.37	0.81	0.89	0.95	0.51	0.43	0.88
chr19_2602901	0.9	0.865	0.37	0.84	0.89	0.98	0.51	0.48	0.89
chr19_2603134	0.15	0.213	0.442	0.208	0.065	0.167	0.271	0.1995	0.191
chr19_2603204	0.231	0.5	0.5	0.4	0.292	0.386	0.5	0.25	0.372
chr19_2603205	0.326	0.333	0.583	0.3	0.261	0.326	0.591	0.25	0.326
chr19_2603211	0.25	0.5	0.4	0.4	0.333	0.4	0.6	0.4	0.343
chr19_2605291	0.67	0.52	0.38	0.52	0.75	0.69	0.52	0.33	0.33
chr19_2609094	0.14	0.09	0.125	0.11	0.11	0.27	0.23	0.11	0.27
chr19_2609095	0.08	0.08	0.09	0.31	0.12	0.52	0.15	0.135	0.3
chr19_2609112	0.09	0.08	0.31	0.24	0.11	0.27	0.16	0.2	0.25
chr19_2609143	0.16	0.21	0.38	0.28	0.23	0.17	0.36	0.255	0.4
chr19_2628808	0.23	0.5	0.56	0.61	0.49	0.48	0.34	0.33	0.67
chr19_2628812	0.13	0.24	0.5	0.34	0.39	0.48	0.24	0.13	0.5
chr19_2628834	0.2	0.29	0.38	0.37	0.24	0.48	0.29	0.18	0.42
chr19_2628840	0.33	0.14	0.31	0.28	0.17	0.38	0.1	0.15	0.21
chr19_2628842	0.35	0.47	0.24	0.54	0.28	0.21	0.24	0.25	0.48
chr19_2628924	0.2	0.18	0.42	0.4	0.42	0.67	0.44	0.42	0.44
chr19_2640720	0.417	0.333	0.333	0.333	0.273	0.231	0.613	0.364	0.176
chr19_2640828	0.455	0.417	0.455	0.455	0.643	0.3	0.48	0.235	0.5
chr19_2658039	1	1	1	1	1	1	1	1	1
chr19_2673847	0.26	0.24	0.39	0.6	0.38	0.43	0.4	0.23	0.29
chr19_2673853	0.11	0.11	0.09	0.27	0.07	0.18	0.11	0.08	0.17
chr19_2673874	0.09	0.09	0.14	0.18	0.11	0.11	0.07	0.18	0.11
chr19_27808137	0.206	0.206	0.188	0.2	0.211	0.636	0.206	0.19	0.615
chr19_27808228	0.176	0.621	0.538	0.4285	0.571	0.5	0.22	0.176	0.357
chr19_27808236	0.28	0.14	0.44	0.28	0.25	0.37	0.08	0.28	0.33
chr19_27808243	0.214	0.24	0.3	0.357	0.167	0.214	0.073	0.214	0.182
chr19_281046	0.71	0.69	0.73	0.47	0.63	0.615	0.6	0.55	0.28
chr19_29705716	0.4	0.38	0.33	0.33	0.33	0.27	0.23	0.67	0.33
chr19_29714161	0.12	0.16	0.24	0.33	0.12	0.16	0.22	0.1	0.16
chr19_29714260	0.33	0.15	0.36	0.35	0.38	0.35	0.36	0.32	0.35
chr19_29714290	0.167	0.174	0.174	0.231	0.107	0.174	0.188	0.15	0.174
chr19_29714296	0.38	0.32	0.5	0.67	0.6	0.25	0.55	0.35	0.38
chr19_29714308	0.5	0.5	0.57	0.5	0.41	0.56	0.56	0.65	0.53
chr19_29714394	0.238	0.375	0.2	0.3	0.3	0.2	0.417	0.3	0.3
chr19_29714408	0.381	0.273	0.2	0.5	0.364	0.19	0.364	0.364	0.667
chr19_29943871	0.38	0.3	0.38	0.43	0.75	0.45	0.36	0.44	0.17
chr19_29951008	0.5	0.38	0.5	0.58	0.71	0.31	0.56	0.37	0.44
chr19_29990303	0.415	0.29	0.71	0.79	0.45	0.55	0.26	0.19	0.38
chr19_29990304	0.38	0.32	0.36	0.83	0.4	0.64	0.23	0.35	0.43
chr19_29990352	0.26	0.77	0.93	1	0.45	0.67	0.43	0.56	0.89
chr19_29990354	0.32	0.32	0.364	0.353	0.3	0.32	0.138	0.176	0.417
chr19_29990416	0.36	0.56	0.71	0.67	0.43	0.82	0.26	0.63	0.41
chr19_29990417	0.92	0.96	1	0.83	0.71	0.88	0.44	0.84	0.82
chr19_30009236	0.18	0.4	0.14	0.32	0.23	0.25	0.35	0.23	0.27
chr19_30247708	0.87	0.62	1	0.74	0.86	1	0.9	0.5	0.33
chr19_30247785	0.15	0.15	0.26	0.4	0.21	0.2	0.18	0.3	0.36
chr19_30324517	0.143	0.103	0.273	0.364	0.708	0.273	0.231	0.273	0.727
chr19_30324630	0.24	0.22	0.19	0.44	0.5	0.21	0.2	0.3	0.34
chr19_30326888	0.35	0.28	0.28	0.28	0.25	0.24	0.43	0.19	0.47
chr19_30348828	0.14	0.27	0.21	0.39	0.18	0.24	0.29	0.3	0.39
chr19_30461157	1	1	1	1	0.99	0.91	1	0.98	0.92
chr19_30466155	0.46	0.4	0.27	0.38	0.3	0.39	0.33	0.63	0.48
chr19_30466310	0.22	0.09	0.5	0.15	0.23	0.2	0.26	0.09	0.32
chr19_30466340	0.23	0.32	0.44	0.45	0.4	0.32	0.44	0.42	0.61
chr19_30466341	0.12	0.08	0.155	0.16	0.22	0.17	0.15	0.06	0.28
chr19_30466443	0.35	0.23	0.21	0.28	0.31	0.29	0.35	0.18	0.3
chr19_30466453	0.1	0.129	0.0815	0.043	0.031	0.068	0.127	0.073	0.09
chr19_30466457	0.41	0.41	0.35	0.46	0.6	0.3	0.62	0.55	0.63
chr19_30466484	0.061	0.038	0.076	0.1	0.089	0.11	0.135	0.029	0.074
chr19_30466489	0.09	0.1	0.12	0.13	0.18	0.1	0.15	0.09	0.14
chr19_30466520	0	0	0	0	0.02	0	0.004	0	0.009
chr19_30467038	0.31	0.53	0.445	0.44	0.19	0.67	0.45	0.4	0.48
chr19_30467099	0.33	0.27	0.33	0.24	0.09	0.31	0.38	0.29	0.61
chr19_30472214	1	1	1	1	1	1	1	1	1
chr19_30475366	0.22	0.08	0.21	0.21	0.25	0.21	0.14	0.41	0.15
chr19_30505689	0.79	0.65	0.93	0.84	0.95	0.58	0.91	0.86	0.71
chr19_30509371	0.74	0.66	0.83	0.75	0.64	0.66	0.5	0.63	0.66
chr19_30509373	1	0.91	1	1	0.77	1	1	0.95	1
chr19_30538952	0.12	0.08	0.21	0.06	0.07	0.12	0.19	0.12	0.16
chr19_30538953	0.07	0.096	0.07	0.133	0.043	0.12	0.127	0.108	0.188
chr19_30538958	0	0	0.105	0	0	0	0	0	0
chr19_30539026	0.071	0.071	0.071	0.047	0.032	0.114	0.105	0.071	0.135
chr19_30553703	0.34	0.14	0.38	0.21	0.28	0.43	0.26	0.26	0.1
chr19_30553710	0.19	0.07	0.31	0.22	0.17	0.38	0.21	0.12	0.07
chr19_30554516	0.17	0.17	0.1	0.14	0.27	0.22	0.17	0.14	0.21
chr19_30554535	0.08	0.17	0.1	0.1	0.24	0.23	0.18	0.17	0.22
chr19_30581811	0.6	0.35	0.31	0.62	0.61	0.81	0.51	0.58	0.48
chr19_30581814	0.119	0.107	0.2	0.395	0.185	0.286	0.139	0.162	0.13
chr19_30581831	0.35	0.43	0.22	0.38	0.39	0.76	0.43	0.4	0.31
chr19_30581878	0	0	0	0.111	0.05	0	0.067	0	0
chr19_30582530	0.17	0.23	0.39	0.24	0.18	0.16	0.23	0.35	0.23
chr19_30582532	0.19	0.18	0.38	0.19	0.13	0.16	0.19	0.38	0.31
chr19_30585127	0.19	0.09	0.18	0.15	0.11	0.14	0.15	0.16	0.15
chr19_30597183	1	1	1	1	1	1	1	1	1
chr19_30620194	1	1	1	1	1	1	1	1	1
chr19_30620292	1	1	1	1	1	1	1	1	1
chr19_30629845	1	1	1	1	1	1	1	1	1
chr19_30632945	1	1	1	1	1	1	1	1	1
chr19_30646859	1	1	1	1	1	1	1	1	1
chr19_30712920	0.43	0.41	0.45	0.36	0.5	0.48	0.29	0.49	0.25
chr19_30712926	0.48	0.59	0.56	0.4	0.59	0.45	0.33	0.6	0.52
chr19_30712934	0.47	0.53	0.5	0.42	0.57	0.44	0.39	0.53	0.5
chr19_30712944	0.14	0.11	0.19	0.12	0.13	0.5	0.21	0.09	0.09
chr19_30712945	0.36	0.36	0.58	0.36	0.55	0.81	0.33	0.27	0.35
chr19_30712947	0.43	0.43	0.5	0.37	0.58	0.82	0.4	0.3	0.44
chr19_32423531	0.357	0.583	0.441	0.474	0.441	0.414	0.441	0.417	0.588
chr19_32460264	0.575	0.62	0.5	0.43	0.47	0.58	0.75	0.57	0.7
chr19_32460268	0.364	0.4	0.308	0.5	0.4	0.4	0.4	0.4	0.438
chr19_32485891	0.92	1	1	1	0.965	0.97	0.94	0.96	0.92
chr19_34188165	0.24	0.3	0.22	0.08	0.12	0.22	0.3	0.22	0.18
chr19_34188180	0.24	0.091	0.385	0.15	0.216	0.216	0.333	0.216	0.214
chr19_34188219	0.107	0.107	0.188	0.109	0.094	0.154	0.106	0.107	0.07
chr19_34193939	0.25	0.273	0.455	0.593	0.667	0.455	0.611	0.4	0.455
chr19_34193946	0.5	0.88	0.6	0.4	0.73	0.43	0.62	0.54	0.39
chr19_34194082	0.25	0.26	0.24	0.24	0.24	0.24	0.24	0.43	0.16
chr19_34194114	0.3	0.31	0.28	0.26	0.26	0.57	0.38	0.41	0.23
chr19_34194148	0.08	0.18	0.24	0.09	0.16	0.35	0.21	0.3	0.195
chr19_34198548	0.21	0.22	0.255	0.14	0.35	0.24	0.33	0.27	0.37
chr19_34199320	0.67	0.86	0.82	0.87	0.83	0.92	0.83	0.94	0.63
chr19_34199333	0.92	0.77	0.78	0.77	0.62	0.92	0.66	0.77	0.63
chr19_34199351	0.35	0.31	0.39	0.38	0.5	0.57	0.38	0.37	0.58
chr19_34199352	0.156	0.073	0.156	0.132	0.167	0.156	0.175	0.132	0.324
chr19_34199353	0.129	0.122	0.129	0.114	0.129	0.235	0.15	0.162	0.118
chr19_3420487	0.69	0.9	0.6	0.9	0.7	0.5	0.75	0.5	0.74
chr19_34205585	0.06	0.08	0.09	0.11	0.1	0.13	0.13	0.11	0.21
chr19_34206614	0.31	0.39	0.31	0.15	0.16	0.45	0.35	0.09	0.2
chr19_34206661	0.07	0.079	0.211	0.111	0.073	0.0985	0.233	0.086	0.136
chr19_34207733	0.45	0.29	0.22	0.33	0.38	0.33	0.61	0.36	0.9
chr19_34207791	0.125	0.219	0.176	0.089	0.094	0.185	0.167	0.267	0.188
chr19_34207792	0.12	0.27	0.27	0.25	0.28	0.27	0.32	0.15	0.51
chr19_34225794	0.211	0.286	0.235	0.5	0.5	0.571	0.158	0.3335	0.381
chr19_34225931	0.35	0.19	0.36	0.35	0.38	0.26	0.26	0.35	0.35
chr19_34225941	0.38	0.29	0.65	0.305	0.23	0.26	0.26	0.44	0.32
chr19_34328773	0.46	0.25	0.575	0.88	0.91	0.53	0.76	0.38	0.62
chr19_34328791	0.5	0.56	0.38	0.2	0.27	0.43	0.37	0.31	0.57
chr19_34328851	0.2	0.15	0.17	0.21	0.2	0.2	0.17	0.26	0.23
chr19_34328870	0.17	0.08	0.12	0.22	0.195	0.41	0.28	0.12	0.24
chr19_34391287	0.11	0.36	0.31	0.18	0.23	0.25	0.12	0.21	0.29
chr19_34391973	0.16	0.16	0.16	0.24	0.1	0.16	0.2	0.14	0.21
chr19_34391979	0.14	0.21	0.17	0.23	0.09	0.18	0.2	0.16	0.21
chr19_34392040	0.087	0.083	0.063	0.074	0.084	0.046	0.033	0.094	0.058
chr19_34392080	0.12	0.09	0.13	0.1	0.1	0.08	0.08	0.16	0.1
chr19_34392199	0.47	0.59	0.56	0.42	0.52	0.55	0.51	0.55	0.23
chr19_34392205	0.43	0.58	0.46	0.36	0.44	0.54	0.48	0.51	0.19
chr19_34392209	0.48	0.62	0.54	0.36	0.48	0.59	0.49	0.57	0.25
chr19_34392222	0.47	0.56	0.44	0.34	0.43	0.5	0.39	0.45	0.14
chr19_34392239	0.4	0.57	0.45	0.33	0.32	0.42	0.33	0.46	0.13
chr19_34392242	0.37	0.51	0.41	0.24	0.26	0.33	0.29	0.46	0.35
chr19_34429661	0.24	0.33	0.5	0.48	0.33	0.33	0.36	0.31	0.32
chr19_34429756	0.135	0.135	0.12	0.07	0.15	0.15	0.32	0.135	0.07
chr19_34429781	0.24	0.24	0.45	0.46	0.28	0.6	0.19	0.48	0.33
chr19_34429815	0.18	0.21	0.31	0.18	0.21	0.15	0.27	0.21	0.29
chr19_34429818	0.28	0.28	0.64	0.54	0.28	0.53	0.35	0.6	0.33
chr19_34429820	0.11	0.3	0.14	0.19	0.16	0.25	0.19	0.175	0.12
chr19_34439651	0.23	0.25	0.28	0.2	0.23	0.27	0.38	0.21	0.31
chr19_34439735	0.2	0.15	0.27	0.17	0.23	0.3	0.16	0.08	0.19
chr19_34439740	0.13	0.15	0.19	0.17	0.19	0.25	0.2	0.19	0.24
chr19_34444686	0.71	0.95	0.57	1	0.6	0.5	0.79	0.46	1
chr19_34444727	0.19	0.46	0.53	0.36	0.27	0.25	0.29	0.2	0.18
chr19_34444733	0.3	0.42	0.57	0.85	0.76	0.7	0.49	0.44	0.43
chr19_34444742	0.55	0.35	0.76	0.76	0.3	0.55	0.64	0.4	0.31
chr19_34444746	0.32	0.34	0.62	0.46	0.2	0.35	0.49	0.38	0.25
chr19_34469074	1	0.557	1	1	1	0.426	1	1	0.998
chr19_34605485	0.48	0.52	0.54	0.42	0.27	0.5	0.54	0.22	0.49
chr19_34605501	0.65	1	1	0.64	0.79	1	1	0.895	0.67
chr19_34605522	0.56	0.89	0.91	0.71	0.47	1	0.67	0.56	0.62
chr19_3469153	0.27	0.62	0.5	0.41	0.62	0.4	0.53	0.58	0.4
chr19_34920281	1	0.75	0.89	0.64	0.88	0.88	1	0.86	0.64
chr19_35037884	0.67	0.63	0.84	0.46	0.77	0.79	0.54	0.46	0.81
chr19_35059337	1	1	1	0.421	1	0.455	1	1	0.968
chr19_35063464	0.143	0.123	0.148	0.091	0.143	0.143	0.147	0.13	0.227
chr19_35063474	0.43	0.51	0.53	0.42	0.36	0.42	0.42	0.28	0.25
chr19_35064378	0.16	0.12	0.21	0.25	0.2	0.22	0.19	0.2	0.2
chr19_35064396	0.047	0.042	0.066	0.17	0.107	0.107	0.204	0.107	0.115
chr19_35064445	0.98	0.91	0.98	0.94	0.88	1	0.94	0.96	0.98
chr19_35064446	0.04	0.055	0.083	0.106	0.129	0.082	0.071	0.121	0.081
chr19_35064477	0.2	0.2	0.32	0.31	0.18	0.58	0.26	0.23	0.2
chr19_35064486	0.41	0.54	0.57	0.45	0.5	0.56	0.75	0.55	0.59
chr19_35064487	0.13	0.23	0.3	0.3	0.25	0.29	0.34	0.29	0.29
chr19_35064541	0.32	0.41	0.29	0.42	0.31	0.32	0.31	0.32	0.38
chr19_35064542	0.9	0.9	0.79	0.96	0.9	0.9	0.88	0.5	0.96
chr19_35064545	0.78	0.64	0.57	0.54	0.85	0.755	0.75	0.83	0.76
chr19_35064546	0.67	0.62	0.38	0.72	0.54	0.635	0.69	0.57	0.65
chr19_35064612	0.26	0.28	0.42	0.17	0.46	0.34	0.28	0.44	0.4
chr19_35070035	0.69	0.53	0.62	0.83	0.88	0.8	0.56	0.77	0.75
chr19_35070429	0.333	0.422	0.545	0.423	0.2	0.393	0.267	0.393	0.393
chr19_35070430	0.51	0.8	0.73	0.69	0.83	0.76	0.86	0.3	0.79
chr19_35070434	0.528	0.522	0.7	0.581	0.562	0.545	0.812	0.364	0.5
chr19_35070528	0.33	0.07	0.27	0.12	0.75	0.325	0.38	0.32	0.42
chr19_35071616	0.07	0.16	0.12	0.2	0.09	0.145	0.17	0.13	0.2
chr19_35071620	0.065	0.128	0.238	0.129	0.061	0.1285	0.135	0.154	0.052
chr19_35071667	0.542	0.647	0.87	0.736	0.698	0.3	0.906	0.524	0.641
chr19_35071672	0.149	0.061	0.2	0.137	0.109	0.143	0.179	0.15	0.098
chr19_35071685	0.5	0.51	0.52	0.71	0.55	0.52	0.71	0.42	0.52
chr19_35071693	0.222	0.343	0.412	0.31	0.135	0.254	0.286	0.167	0.152
chr19_35079564	0.065	0.057	0.125	0.075	0.115	0.075	0.111	0.075	0.068
chr19_35079576	0.132	0.187	0.409	0.151	0.187	0.187	0.222	0.136	0.3
chr19_35079586	0.34	0.37	0.42	0.26	0.26	0.325	0.31	0.11	0.37
chr19_35079610	0.58	0.64	0.47	0.57	0.62	1	0.5	0.45	0.59
chr19_35079641	0.137	0.092	0.4	0.186	0.19	0.19	0.238	0.19	0.304
chr19_35079652	0.88	0.82	0.83	0.85	0.56	0.83	0.81	0.96	0.83
chr19_35079655	0.31	0.45	0.36	0.43	0.2	0.395	0.53	0.28	0.55
chr19_35089045	0.5	0.33	0.33	0.35	0.33	0.77	0.27	0.33	0.18
chr19_35089050	0.63	0.41	0.4	0.28	0.56	0.67	0.35	0.48	0.13
chr19_35092002	0.75	0.65	0.93	1	0.46	0.755	1	0.63	0.76
chr19_35092053	0.214	0.078	0.278	0.25	0.115	0.231	0.231	0.333	0.231
chr19_35096896	1	1	1	1	1	1	0.85	1	1
chr19_35097788	0.25	0.188	0.5	0.4	0.421	0.382	0.364	0.238	0.412
chr19_35097802	0.33	0.29	0.45	0.53	0.78	0.38	0.44	0.43	0.83
chr19_35097823	0.55	0.36	0.67	0.27	0.74	0.44	0.5	0.48	0.59
chr19_35099354	0.037	0.054	0.07	0.033	0.081	0.2	0.057	0.057	0.057
chr19_35104006	0.48	0.64	0.43	0.57	0.38	0.75	0.63	0.41	0.525
chr19_35104014	0.27	0.27	0.23	0.26	0.19	0.58	0.35	0.22	0.265
chr19_35274716	0.83	0.47	0.68	0.62	1	0.94	0.95	0.755	0.68
chr19_35274726	0.69	0.44	0.17	0.32	0.44	0.5	0.3	0.44	0.5
chr19_35279755	0.24	0.24	0.3	0.08	0.205	0.2	0.21	0.18	0.19
chr19_35296559	0.158	0.138	0.278	0.271	0.353	0.278	0.429	0.278	0.333
chr19_35296560	0.65	0.3	0.26	0.41	0.21	0.67	0.29	0.3	0.3
chr19_35296562	0.425	0.44	0.37	0.4	0.41	0.54	0.64	0.42	0.43
chr19_35296569	0.69	0.31	0.47	0.61	0.85	0.71	0.72	0.44	0.53
chr19_35296570	0.9	0.273	0.455	0.812	0.739	0.519	0.467	0.571	0.364
chr19_35296982	0.47	0.56	0.3	0.2	0.17	0.21	0.31	0.305	0.34
chr19_35297088	0.17	0.1	0.17	0.09	0.12	0.13	0.12	0.17	0.09
chr19_35297094	0.23	0.25	0.37	0.42	0.21	0.24	0.31	0.25	0.26
chr19_35303023	0.19	0.44	0.2	0.37	0.14	0.29	0.15	0.11	0.195
chr19_35303024	0.42	0.48	0.47	0.42	0.21	0.61	0.35	0.26	0.27
chr19_35303027	0.68	0.61	0.56	0.76	0.46	0.81	0.6	0.4	0.59
chr19_35303028	0.18	0.16	0.25	0.3	0.17	0.17	0.15	0.17	0.16
chr19_35303053	0.54	0.55	0.52	0.57	0.3	0.62	0.56	0.28	0.56
chr19_35303063	0.55	0.49	0.46	0.49	0.27	0.55	0.53	0.25	0.49
chr19_35303065	0.18	0.12	0.19	0.11	0.18	0.2	0.08	0.18	0.25
chr19_35303081	0.47	0.37	0.54	0.42	0.36	0.59	0.44	0.39	0.44
chr19_35303098	0.12	0.14	0.09	0.07	0.12	0.12	0.13	0.14	0.08
chr19_35303104	0.075	0.082	0.08	0.1	0.057	0.172	0.08	0.08	0.07
chr19_35303107	0.14	0.12	0.12	0.08	0.07	0.16	0.12	0.08	0.14
chr19_35303124	0.08	0.17	0.31	0.24	0.195	0.27	0.12	0.22	0.1
chr19_35303144	0.4	0.38	0.62	0.33	0.31	0.42	0.44	0.36	0.64
chr19_35303158	0.41	0.33	0.53	0.46	0.29	0.44	0.45	0.44	0.46
chr19_35303186	0.064	0.101	0.2	0.139	0.056	0.17	0.035	0.126	0.147
chr19_35303192	0.77	0.73	0.69	0.76	0.62	0.78	0.77	0.64	0.745
chr19_35303198	0.31	0.2	0.33	0.23	0.16	0.3	0.19	0.23	0.23
chr19_35303200	0.083	0.099	0.092	0.14	0.036	0.186	0.099	0.07	0.135
chr19_35303207	0.065	0.041	0.103	0.142	0.035	0.119	0.052	0.035	0.052
chr19_35305693	0.48	0.39	0.5	0.6	0.37	0.58	0.65	0.49	0.58
chr19_35305699	0.64	0.87	0.65	0.7	0.55	0.9	0.97	0.68	0.64
chr19_35305705	0.53	0.59	0.54	0.64	0.43	0.68	0.59	0.59	0.63
chr19_35305776	0.17	0.18	0.215	0.25	0.22	0.33	0.12	0.29	0.21
chr19_35305777	0.17	0.15	0.21	0.17	0.21	0.29	0.17	0.09	0.16
chr19_35305784	0.09	0.29	0.19	0.07	0.15	0.25	0.19	0.19	0.22
chr19_35305790	0.31	0.25	0.25	0.14	0.19	0.67	0.25	0.23	0.44
chr19_35305799	0.109	0.167	0.167	0.133	0.304	0.167	0.176	0.154	0.167
chr19_35305808	0.455	0.357	0.615	0.433	0.6	0.5275	0.611	0.417	0.647
chr19_35305834	0.79	0.62	0.57	0.45	0.67	0.8	0.47	0.45	0.28
chr19_35305875	0.39	0.35	0.5	0.58	0.62	0.8	0.68	0.52	0.33
chr19_35306461	0.384	0.238	0.333	0.293	0.433	0.379	0.361	0.209	0.481
chr19_35306489	0.14	0.15	0.31	0.12	0.27	0.43	0.17	0.12	0.19
chr19_35306512	0.15	0.1	0.23	0.11	0.15	0.14	0.2	0.15	0.16
chr19_35306517	0.1	0.09	0.28	0.07	0.08	0.16	0.07	0.095	0.15
chr19_35306577	0.3	0.21	0.39	0.2	0.24	0.36	0.24	0.24	0.18
chr19_35306583	0.037	0.214	0.273	0.25	0.214	0.214	0.136	0.129	0.286
chr19_35307544	0.1	0.065	0.091	0.071	0.105	0.172	0.107	0.118	0.115
chr19_35307560	0.47	0.37	0.38	0.36	0.43	0.36	0.46	0.4	0.41
chr19_35307607	0.3	0.17	0.35	0.57	0.3	0.3	0.28	0.31	0.21
chr19_35307608	0.28	0.07	0.21	0.4	0.38	0.25	0.4	0.22	0.13
chr19_35307635	0.125	0.16	0.214	0.275	0.308	0.16	0.13	0.148	0.16
chr19_35308459	0.15	0.06	0.17	0.06	0.17	0.17	0.15	0.15	0.12
chr19_35308474	0.07	0.1	0.16	0.24	0.12	0.16	0.16	0.1	0.14
chr19_35309548	0.2	0.32	0.38	0.42	0.41	0.45	0.51	0.29	0.22
chr19_35311439	0.022	0.019	0.035	0.059	0.07	0.059	0.092	0.059	0.104
chr19_35312776	0.11	0.076	0.064	0.04	0.109	0.0925	0.2	0.03	0.215
chr19_35312908	0.08	0.067	0.083	0.058	0.067	0.105	0.105	0.023	0.198
chr19_35312918	0.19	0.19	0.19	0.16	0.28	0.18	0.35	0.07	0.43
chr19_35312919	0.04	0.083	0.042	0.058	0.08	0.043	0.129	0.022	0.118
chr19_35312928	0.057	0.095	0.049	0.064	0.049	0.064	0.135	0.064	0.072
chr19_35312964	0.023	0.048	0.024	0.034	0.041	0.041	0.082	0.041	0.081
chr19_35314573	0.36	0.17	0.2	0.26	0.27	0.25	0.24	0.28	0.13
